number,title,state,created_at,updated_at,labels
11441,Enable native SOCKS support by default [Feature #20673],open,2024-08-23T02:11:15Z,2024-08-23T02:13:08Z,
11440,[DOC] Tweaks to Array#combination,open,2024-08-22T22:10:33Z,2024-08-23T03:47:00Z,Documentation
11438,[PRISM] Fix allocations for keyword splat params,open,2024-08-22T18:38:15Z,2024-08-23T12:57:46Z,
11437,[Bug #20691] Fix use-after-free in WeakKeyMap#clear,open,2024-08-22T16:05:15Z,2024-08-23T03:23:38Z,
11436,[DOC] Adds remarks about returned Enumerator,open,2024-08-22T15:52:22Z,2024-08-23T04:22:33Z,Documentation
11422,Assume that shared array is not embedded,open,2024-08-21T15:54:21Z,2024-08-22T03:17:30Z,
11407,Make object ID faster by checking flags,open,2024-08-19T14:52:32Z,2024-08-22T03:17:47Z,
11406,Add optimized instructions for frozen literal Hash and Array,open,2024-08-19T09:21:29Z,2024-08-19T09:21:48Z,
11404,Workaround for the problem that the Slave PTY output is lost after child process exits in macOS,open,2024-08-19T01:20:46Z,2024-08-22T02:28:33Z,
11403,[Bug #20693] Perform an actual access check in Dir.tmpdir for writability,open,2024-08-18T07:07:35Z,2024-08-23T12:39:21Z,
11393,"Add error checking to readdir, telldir, and closedir calls in dir.c",open,2024-08-16T21:57:00Z,2024-08-19T22:24:58Z,
11388,YJIT: Encode doubles to VALUE objects and move stat generation to rust,open,2024-08-16T00:42:31Z,2024-08-22T00:13:57Z,
11370,Implement Process.argv,open,2024-08-13T19:36:50Z,2024-08-16T09:32:05Z,
11363,prism_compiler: re-use the iseq local table for keyword->table,open,2024-08-11T18:45:55Z,2024-08-13T08:40:22Z,
11352,[Bug #20662] Preserve payloads in packed NaN,open,2024-08-09T13:12:22Z,2024-08-16T10:37:43Z,
11342,"Add Marshal::MarshalError, and subclasses",open,2024-08-08T12:45:05Z,2024-08-09T07:50:06Z,
11338,Launchable: Capture Timeout error,open,2024-08-08T09:46:38Z,2024-08-18T07:26:38Z,
11323,Debug #11271,open,2024-08-07T09:21:07Z,2024-08-19T02:02:56Z,
11293,Implement String#append_bytes(String),open,2024-08-01T09:18:33Z,2024-08-02T17:21:48Z,
11280,YJIT: Pass method arguments using registers,open,2024-07-30T17:22:37Z,2024-08-17T18:31:49Z,
11271,Stop retrying tests in `make test-all` command by default,open,2024-07-29T05:26:27Z,2024-08-08T05:20:49Z,
11263,[20656] Import Hash#except! from Active Support,open,2024-07-27T22:22:26Z,2024-08-22T06:03:06Z,
11239,YJIT: track the shape of self in the context (WIP),open,2024-07-24T21:07:31Z,2024-08-07T20:29:47Z,
11217,[CI] sequential execution of some CI tasks,open,2024-07-22T01:31:55Z,2024-07-22T01:31:55Z,
11206,"Fix evaluation order issue in f(**h, &h.delete(key))",open,2024-07-19T05:32:59Z,2024-08-01T07:51:10Z,Playground
11202,"Release GVL for get{login,pwnam,pwuid,grnam}{,_r} calls in process.c",open,2024-07-18T21:24:32Z,2024-08-19T21:42:49Z,
11142,`require` on Ractors,open,2024-07-10T22:13:20Z,2024-07-11T03:00:30Z,
11133,Shrink capa from OBJ_FREEZE for arrays,open,2024-07-09T17:37:41Z,2024-07-12T15:13:13Z,
11122,Introduce Epsilon GC,open,2024-07-08T11:11:00Z,2024-07-08T11:45:50Z,
11103,Make rb_obj_free use rb_ary_freeze when the target is an Array,open,2024-07-04T04:17:26Z,2024-07-11T21:22:08Z,
11099,Raise a compile error for break/next/redo inside eval in cases where it is optimized away,open,2024-07-03T23:00:30Z,2024-07-12T14:41:00Z,
11097,Update exception message in string_for_symbol,open,2024-07-03T20:33:46Z,2024-07-03T20:33:46Z,
11085,merge flags when the second one does not have a `-`,open,2024-07-02T15:31:16Z,2024-08-22T06:04:09Z,
